Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
inplanta-3KO-020-R1.repaired_inplanta-3KO-020-R2.repaired	20.9168	91.4321	36251.584965999995	338.91132999999996	51.603	92.55148738294226	86.61948230138279	16.043539526820737	125.0	125.0
inplanta-3KO-021-R1.repaired_inplanta-3KO-021-R2.repaired	7.73591	92.26910000000001	2939.267555	26.738163999999998	52.6173	95.85495296546978	91.3599108351497	14.851877079270393	125.0	125.0
inplanta-3KO-023-R1.repaired_inplanta-3KO-023-R2.repaired	26.643	89.30930000000001	45188.824777999995	431.184236	52.3867	95.51866315060069	89.670500614071	17.713228400739368	125.0	125.0
inplanta-SN15-016-R1.repaired_inplanta-SN15-016-R2.repaired	30.717	92.9469	52566.566963	480.288304	51.9401	94.70008769287872	89.20991884203994	15.046550179896098	125.0	125.0
inplanta-SN15-017-R1.repaired_inplanta-SN15-017-R2.repaired	24.8691	91.9614	56035.912348	519.090738	52.755399999999995	94.17097428401506	88.43509009750572	14.440603202357174	125.0	125.0
inplanta-SN15-018-R1.repaired_inplanta-SN15-018-R2.repaired	22.8095	91.8892	54502.474721	506.48134799999997	52.4439	92.09859041307723	86.28417479486207	14.399454090004085	125.0	125.0
inplanta-SN15-019-R1.repaired_inplanta-SN15-019-R2.repaired	30.9268	92.2474	64819.1334	588.921264	52.800599999999996	96.9747783949444	92.5636528765519	15.05738998605336	125.0	125.0
inplanta-Tween-012-R1.repaired_inplanta-Tween-012-R2.repaired	26.1508	90.4231	58255.057542999995	553.4321279999999	50.800999999999995	91.99411367596925	85.67221061648449	16.37511500425123	125.0	125.0
inplanta-Tween-013-R1.repaired_inplanta-Tween-013-R2.repaired	22.6381	91.33879999999999	55350.650471999994	519.1486	51.6264	92.18725904327043	86.08679053291422	15.706274501784542	125.0	125.0
inplanta-Tween-014-R1.repaired_inplanta-Tween-014-R2.repaired	24.174799999999998	92.2527	55010.82658	507.36713999999995	52.8359	93.75696951462673	88.15366017375405	15.656116974261986	125.0	125.0
inplanta-Tween-015-R1.repaired_inplanta-Tween-015-R2.repaired	23.0287	90.6319	55149.971252999996	522.9716599999999	51.556000000000004	90.9797898163896	84.68784961761557	14.956282607475387	125.0	125.0
