GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0031047,GO:0031047,20/247,287/100553,0.06968641114982578,28.369140487240617,23.04122896795383,4.910363163110426e-23,6.33436848041245e-21,3.721538397304744e-21,TraesCS1D03G1045600.1/TraesCS3B03G1112800.3/TraesCS3B03G1112800.1/TraesCS3B03G1112800.2/TraesCS5B03G0320200.3/TraesCS5B03G0320200.5/TraesCS5B03G0320200.4/TraesCS5B03G0320200.1/TraesCS5B03G0320200.6/TraesCS5B03G0320200.2/TraesCS1D03G0387200.6/TraesCS1D03G0387200.8/TraesCS1D03G0387200.5/TraesCS1D03G0387200.9/TraesCS1D03G0387200.7/TraesCS1D03G0387200.3/TraesCS1D03G0387200.2/TraesCS1D03G0387200.1/TraesCS1D03G0387200.4/TraesCS5D03G1140400.1,20,Up,regulatory ncRNA-mediated gene silencing,biological_process,BP,3KO_vs_SN15
GO:0048511,GO:0048511,7/247,41/100553,0.17073170731707318,69.50439419373951,21.771170467815388,1.0373514798774474e-11,6.690917045209536e-10,3.9310161342724327e-10,TraesCS2D03G0156800.5/TraesCS2D03G0156800.2/TraesCS2D03G0156800.6/TraesCS2D03G0156800.1/TraesCS2D03G0156800.4/TraesCS2D03G0156800.7/TraesCS2D03G0156800.3,7,Up,rhythmic process,biological_process,BP,3KO_vs_SN15
GO:0000160,GO:0000160,12/247,351/100553,0.03418803418803419,13.917851828783004,12.030565425269609,1.0691182362902038e-10,4.597208416047876e-9,2.700930281154199e-9,TraesCS2A03G0159800.2/TraesCS2A03G0159800.1/TraesCS2A03G0159800.5/TraesCS2A03G0159800.4/TraesCS2A03G0159800.3/TraesCS2D03G0156800.5/TraesCS2D03G0156800.2/TraesCS2D03G0156800.6/TraesCS2D03G0156800.1/TraesCS2D03G0156800.4/TraesCS2D03G0156800.7/TraesCS2D03G0156800.3,12,Up,phosphorelay signal transduction system,biological_process,BP,3KO_vs_SN15
GO:0009522,GO:0009522,7/247,153/100553,0.0457516339869281,18.625360535577254,10.8267284884747,1.2375447014566555e-7,3.991081662197714e-6,2.344821539602084e-6,TraesCS1B03G1053200.1/TraesCS5B03G1135300.1/TraesCS5D03G1027800.1/TraesCS6A03G0215300.1/TraesCS6A03G0216400.1/TraesCS6A03G0216800.1/TraesCS7A03G0464000.1,7,Up,photosystem I,cellular_component,CC,3KO_vs_SN15
GO:0009439,GO:0009439,3/247,7/100553,0.42857142857142855,174.47021399652976,22.77570938261823,5.087800366013834e-7,1.3126524944315694e-5,7.712034239010444e-6,TraesCS4A03G0013100.1/TraesCS4B03G0780600.1/TraesCS4D03G0700800.1,3,Up,cyanate metabolic process,biological_process,BP,3KO_vs_SN15
GO:0008409,GO:0008409,3/247,16/100553,0.1875,76.33071862348179,14.953729421888896,8.008226495497539e-6,1.4758017398845463e-4,8.670561017681546e-5,TraesCS4D03G0566300.3/TraesCS4D03G0566300.1/TraesCS4D03G0566300.2,3,Up,5'-3' exonuclease activity,molecular_function,MF,3KO_vs_SN15
GO:0010267,GO:0010267,3/247,16/100553,0.1875,76.33071862348179,14.953729421888896,8.008226495497539e-6,1.4758017398845463e-4,8.670561017681546e-5,TraesCS3B03G1112800.3/TraesCS3B03G1112800.1/TraesCS3B03G1112800.2,3,Up,ta-siRNA processing,biological_process,BP,3KO_vs_SN15
GO:0009523,GO:0009523,8/247,418/100553,0.019138755980861243,7.791333320419193,6.904474235314319,1.0770954728846452e-5,1.7368164500264905e-4,1.020406237469664e-4,TraesCS1B03G1053200.1/TraesCS5A03G0926200.1/TraesCS5B03G1135300.1/TraesCS5D03G1027800.1/TraesCS6A03G0215300.1/TraesCS6A03G0216400.1/TraesCS6A03G0216800.1/TraesCS7A03G0464000.1,8,Up,photosystem II,cellular_component,CC,3KO_vs_SN15
GO:0009409,GO:0009409,5/247,125/100553,0.04,16.283886639676112,8.484803417135783,1.583954353417469e-5,2.270334573231706e-4,1.333856297614711e-4,TraesCS4A03G1010500.3/TraesCS4A03G1010500.5/TraesCS4A03G1010500.2/TraesCS4A03G1010500.1/TraesCS4A03G1010500.4,5,Up,response to cold,biological_process,BP,3KO_vs_SN15
GO:0070652,GO:0070652,3/247,38/100553,0.07894736842105263,32.13924994672917,9.527191275444121,1.1591156439395445e-4,0.0014952591806820124,8.784876459331284e-4,TraesCS5B03G0280300.2/TraesCS5B03G0280300.1/TraesCS5B03G0280300.3,3,Up,HAUS complex,cellular_component,CC,3KO_vs_SN15
