GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0004364,GO:0004364,109/6474,326/100553,0.3343558282208589,5.193154401466176,19.892650238235973,3.620471950418952e-48,3.6240924223693706e-45,2.736314589895587e-45,TraesCS1A03G0034000.1/TraesCS1A03G0039400.1/TraesCS1A03G0193000.1/TraesCS1A03G0501600.1/TraesCS1A03G0501900.1/TraesCS1A03G0502000.1/TraesCS1A03G0502500.1/TraesCS1A03G0502600.1/TraesCS1A03G0503000.1/TraesCS1B03G0260800.1/TraesCS1B03G0306600.1/TraesCS1B03G0306700.1/TraesCS1B03G0574000.1/TraesCS1B03G0574200.1/TraesCS1B03G0574300.1/TraesCS1B03G0574400.1/TraesCS1B03G0574600.1/TraesCS1B03G0574900.1/TraesCS1D03G0185900.1/TraesCS1D03G0221200.1/TraesCS1D03G0221300.1/TraesCS1D03G0221600.1/TraesCS1D03G0485600.1/TraesCS1D03G0485700.1/TraesCS1D03G0485700.2/TraesCS1D03G0486000.1/TraesCS1D03G0486100.1/TraesCS1D03G0486300.1/TraesCS1D03G0486500.1/TraesCS1D03G0486700.1/TraesCS1D03G0487600.1/TraesCS2A03G0085500.2/TraesCS2A03G0085500.1/TraesCS2A03G0294300.1/TraesCS2A03G0467200.1/TraesCS2B03G1071900.1/TraesCS2B03G1436700.1/TraesCS2B03G1436800.1/TraesCS2B03G1525600.1/TraesCS2B03G1525800.1/TraesCS2D03G0080400.1/TraesCS2D03G0476000.1/TraesCS2D03G1209400.1/TraesCS2D03G1289800.1/TraesCS2D03G1290200.1/TraesCS3A03G0664700.1/TraesCS3A03G0745700.1/TraesCS3A03G1018500.1/TraesCS3A03G1018700.1/TraesCS3A03G1019600.1/TraesCS3A03G1066700.1/TraesCS3A03G1145300.1/TraesCS3B03G0056800.1/TraesCS3B03G0759400.1/TraesCS3B03G1165300.1/TraesCS3B03G1166200.1/TraesCS3B03G1214400.1/TraesCS3B03G1334800.1/TraesCS3B03G1335500.1/TraesCS3B03G1345100.1/TraesCS3B03G1345200.1/TraesCS3D03G0608100.1/TraesCS3D03G0686600.1/TraesCS3D03G0945900.1/TraesCS3D03G0946100.1/TraesCS3D03G0946200.1/TraesCS3D03G0946300.1/TraesCS3D03G0946800.1/TraesCS3D03G0978600.1/TraesCS3D03G0995000.1/TraesCS3D03G0995000.2/TraesCS3D03G1068100.1/TraesCS3D03G1074100.1/TraesCS3D03G1077400.1/TraesCS3D03G1077900.1/TraesCS4A03G0212800.1/TraesCS4A03G0214400.1/TraesCS4A03G0866100.1/TraesCS4A03G1082500.1/TraesCS4D03G0492800.1/TraesCS4D03G0493500.1/TraesCS4D03G0699100.1/TraesCS5A03G0058300.1/TraesCS5B03G0049000.1/TraesCS5B03G0050700.1/TraesCS5B03G0512200.1/TraesCS5B03G0944900.1/TraesCS5B03G1052000.1/TraesCS5B03G1070800.1/TraesCS5D03G0074100.1/TraesCS6A03G0329800.1/TraesCS6B03G0188800.1/TraesCS6B03G0425000.1/TraesCS6B03G0425400.1/TraesCS6D03G0283400.1/TraesCS6D03G0283500.1/TraesCS7A03G0044700.1/TraesCS7A03G0109700.1/TraesCS7A03G0197800.1/TraesCS7A03G0311400.1/TraesCS7A03G1278700.1/TraesCS7B03G0225200.1/TraesCS7D03G0069600.1/TraesCS7D03G0100700.1/TraesCS7D03G0180100.1/TraesCS7D03G1135000.1/TraesCS7D03G1216300.1/TraesCSU03G0111800.2/TraesCSU03G0111800.1,109,Up,glutathione transferase activity,molecular_function,MF,3KO_vs_Tween
GO:0006749,GO:0006749,76/6474,227/100553,0.33480176211453744,5.20008056625009,16.61878077903848,4.271092367154375e-34,2.137681729760765e-31,1.6140233261141273e-31,TraesCS1A03G0039400.1/TraesCS1A03G0193000.1/TraesCS1A03G0501600.1/TraesCS1A03G0501900.1/TraesCS1A03G0502000.1/TraesCS1A03G0502500.1/TraesCS1A03G0502600.1/TraesCS1A03G0503000.1/TraesCS1B03G0574000.1/TraesCS1B03G0574200.1/TraesCS1B03G0574300.1/TraesCS1B03G0574400.1/TraesCS1B03G0574600.1/TraesCS1B03G0574900.1/TraesCS1D03G0221300.1/TraesCS1D03G0485600.1/TraesCS1D03G0485700.2/TraesCS1D03G0486000.1/TraesCS1D03G0486100.1/TraesCS1D03G0486300.1/TraesCS1D03G0486500.1/TraesCS1D03G0486700.1/TraesCS1D03G0487600.1/TraesCS2A03G0294300.1/TraesCS2A03G0467200.1/TraesCS2B03G1436700.1/TraesCS2B03G1436800.1/TraesCS2B03G1525600.1/TraesCS2B03G1525800.1/TraesCS2D03G0476000.1/TraesCS2D03G1209400.1/TraesCS2D03G1289800.1/TraesCS2D03G1290200.1/TraesCS3A03G0664700.1/TraesCS3A03G1018500.1/TraesCS3A03G1018700.1/TraesCS3A03G1019600.1/TraesCS3A03G1066700.1/TraesCS3A03G1145300.1/TraesCS3B03G0056800.1/TraesCS3B03G0759400.1/TraesCS3B03G1165300.1/TraesCS3B03G1166200.1/TraesCS3B03G1334800.1/TraesCS3B03G1335500.1/TraesCS3B03G1345100.1/TraesCS3B03G1345200.1/TraesCS3D03G0608100.1/TraesCS3D03G0945900.1/TraesCS3D03G0946100.1/TraesCS3D03G0946200.1/TraesCS3D03G0946300.1/TraesCS3D03G0946800.1/TraesCS3D03G0995000.1/TraesCS3D03G0995000.2/TraesCS3D03G1068100.1/TraesCS3D03G1074100.1/TraesCS3D03G1077400.1/TraesCS3D03G1077900.1/TraesCS4A03G1082500.1/TraesCS4D03G0699100.1/TraesCS5B03G0512200.1/TraesCS5B03G0944900.1/TraesCS5B03G1052000.1/TraesCS6A03G0329800.1/TraesCS6B03G0425000.1/TraesCS6B03G0425400.1/TraesCS6D03G0283400.1/TraesCS6D03G0283500.1/TraesCS7A03G0044700.1/TraesCS7A03G0109700.1/TraesCS7A03G0197800.1/TraesCS7A03G0311400.1/TraesCS7D03G0069600.1/TraesCS7D03G0100700.1/TraesCS7D03G0180100.1,76,Up,glutathione metabolic process,biological_process,BP,3KO_vs_Tween
GO:0016841,GO:0016841,39/6474,63/100553,0.6190476190476191,9.614935934213042,17.943049764797813,1.0450254451282356e-30,3.4869015685778797e-28,2.6327307705335902e-28,TraesCS5B03G1146700.1/TraesCS1A03G0089700.1/TraesCS1B03G0108400.1/TraesCS1B03G0108600.1/TraesCS1B03G0108600.2/TraesCS1B03G0108700.2/TraesCS1B03G0108700.1/TraesCS1D03G0078900.1/TraesCS1D03G0079200.1/TraesCS2A03G0454500.1/TraesCS2A03G0922600.1/TraesCS2A03G0922800.1/TraesCS2A03G0922900.1/TraesCS2B03G0540200.1/TraesCS2B03G1014000.1/TraesCS2B03G1014000.2/TraesCS2B03G1015000.1/TraesCS2B03G1015300.1/TraesCS2D03G0428000.1/TraesCS2D03G0459600.1/TraesCS2D03G0862600.1/TraesCS2D03G0863100.1/TraesCS2D03G0863200.1/TraesCS2D03G0863300.1/TraesCS4A03G0998200.1/TraesCS6A03G0613600.1/TraesCS6A03G0613700.1/TraesCS6A03G0614100.1/TraesCS6B03G0758700.3/TraesCS6B03G0758700.1/TraesCS6B03G0758700.2/TraesCS6B03G0759200.1/TraesCS6B03G0759200.2/TraesCS6B03G0759300.1/TraesCS6D03G0526000.2/TraesCS6D03G0526000.1/TraesCS6D03G0526600.1/TraesCS6D03G0526600.3/TraesCS6D03G0526600.2,39,Up,ammonia-lyase activity,molecular_function,MF,3KO_vs_Tween
GO:0006559,GO:0006559,41/6474,77/100553,0.5324675324675324,8.27018964970772,16.741535644443537,1.4693231263054315e-28,3.676981123579342e-26,2.776247380756052e-26,TraesCS5B03G1146700.1/TraesCS1A03G0089700.1/TraesCS1B03G0108400.1/TraesCS1B03G0108600.1/TraesCS1B03G0108600.2/TraesCS1B03G0108700.2/TraesCS1B03G0108700.1/TraesCS1D03G0078900.1/TraesCS1D03G0079200.1/TraesCS2A03G0454500.1/TraesCS2A03G0922600.1/TraesCS2A03G0922800.1/TraesCS2A03G0922900.1/TraesCS2B03G0540200.1/TraesCS2B03G1014000.1/TraesCS2B03G1014000.2/TraesCS2B03G1015000.1/TraesCS2B03G1015300.1/TraesCS2D03G0428000.1/TraesCS2D03G0459600.1/TraesCS2D03G0862600.1/TraesCS2D03G0863100.1/TraesCS2D03G0863200.1/TraesCS2D03G0863300.1/TraesCS4A03G0998200.1/TraesCS6A03G0335700.2/TraesCS6A03G0335700.1/TraesCS6A03G0613600.1/TraesCS6A03G0613700.1/TraesCS6A03G0614100.1/TraesCS6B03G0758700.3/TraesCS6B03G0758700.1/TraesCS6B03G0758700.2/TraesCS6B03G0759200.1/TraesCS6B03G0759200.2/TraesCS6B03G0759300.1/TraesCS6D03G0526000.2/TraesCS6D03G0526000.1/TraesCS6D03G0526600.1/TraesCS6D03G0526600.3/TraesCS6D03G0526600.2,41,Up,L-phenylalanine catabolic process,biological_process,BP,3KO_vs_Tween
GO:0030145,GO:0030145,75/6474,312/100553,0.2403846153846154,3.733610477412609,12.68605500249116,1.8166970506007564e-23,3.637027495302714e-21,2.7460810154344063e-21,TraesCS1A03G0231900.3/TraesCS1A03G0231900.2/TraesCS1A03G0231900.1/TraesCS1A03G0231900.4/TraesCS1B03G0178300.1/TraesCS1B03G0177800.1/TraesCS1B03G0346000.1/TraesCS1B03G0346000.2/TraesCS2A03G1085000.1/TraesCS2A03G1085100.1/TraesCS2B03G1216600.1/TraesCS2B03G1216800.1/TraesCS2B03G1577900.1/TraesCS2D03G1027200.1/TraesCS2D03G1027400.1/TraesCS3A03G0025800.1/TraesCS3A03G0026000.1/TraesCS3A03G0026100.1/TraesCS3B03G0728300.1/TraesCS3B03G0728400.1/TraesCS3D03G0021000.1/TraesCS3D03G0021100.1/TraesCS3D03G0021200.1/TraesCS3D03G0021300.1/TraesCS4A03G0281800.1/TraesCS4A03G0281800.2/TraesCS4A03G0493900.1/TraesCS4A03G0718900.1/TraesCS4A03G0719000.1/TraesCS4B03G0073200.1/TraesCS4B03G0073600.1/TraesCS4B03G0074000.1/TraesCS4B03G0966600.1/TraesCS4B03G0966700.1/TraesCS4B03G0966800.1/TraesCS4B03G0967300.1/TraesCS4B03G0967500.1/TraesCS4B03G0967800.2/TraesCS4B03G0967800.1/TraesCS4B03G0967900.1/TraesCS4B03G0968000.1/TraesCS4B03G0968200.1/TraesCS4B03G0969000.1/TraesCS4D03G0051400.1/TraesCS4D03G0051500.1/TraesCS4D03G0051700.1/TraesCS4D03G0053200.1/TraesCS4D03G0053300.1/TraesCS4D03G0053500.1/TraesCS4D03G0053600.1/TraesCS4D03G0053700.1/TraesCS4D03G0053900.1/TraesCS5A03G1271000.1/TraesCSU03G0144600.1/TraesCS4D03G0838600.1/TraesCS5A03G1270600.1/TraesCS5A03G1272500.1/TraesCS5A03G1272900.1/TraesCSU03G0140400.1/TraesCS5B03G0125000.1/TraesCS5B03G0233400.1/TraesCS5B03G1134600.1/TraesCS5D03G0135600.1/TraesCS5D03G1027100.1/TraesCS6A03G0966200.1/TraesCS6A03G0967400.1/TraesCS6D03G0846300.1/TraesCS6D03G0848200.1/TraesCS7A03G1147100.1/TraesCS7A03G1147500.1/TraesCS7A03G1275200.1/TraesCS7B03G1006900.1/TraesCS7B03G1193300.1/TraesCS7D03G1093000.1/TraesCS7D03G1211900.1,75,Up,manganese ion binding,molecular_function,MF,3KO_vs_Tween
GO:0042973,GO:0042973,37/6474,85/100553,0.43529411764705883,6.760909702157044,13.938691635948741,5.743448139411545e-22,9.581985979251596e-20,7.23472941069735e-20,TraesCS1A03G0608300.1/TraesCS1B03G0705900.1/TraesCS1D03G0580300.1/TraesCS2B03G0582800.3/TraesCS2B03G0582800.1/TraesCS2B03G0582800.2/TraesCS3A03G1125900.1/TraesCS3A03G1126500.1/TraesCS3A03G1130400.1/TraesCS3A03G1130400.2/TraesCS3A03G1131900.1/TraesCS3A03G1134100.1/TraesCS3A03G1134200.1/TraesCS3A03G1141700.1/TraesCS3B03G1306500.1/TraesCS3B03G1307400.1/TraesCS3B03G1311100.1/TraesCS3B03G1311200.1/TraesCS3B03G1311900.2/TraesCS3B03G1311900.1/TraesCS3B03G1312000.1/TraesCS3B03G1317800.1/TraesCS3B03G1319000.1/TraesCS3B03G1319300.1/TraesCS3B03G1319800.1/TraesCS3B03G1329900.1/TraesCS3D03G1131500.1/TraesCS3D03G1131500.2/TraesCS3D03G1048800.1/TraesCS3D03G1052000.2/TraesCS3D03G1052000.1/TraesCS3D03G1052100.2/TraesCS3D03G1052100.1/TraesCS3D03G1055800.1/TraesCS3D03G1056500.1/TraesCS5A03G0779400.1/TraesCSU03G0047200.1,37,Up,"glucan endo-1,3-beta-D-glucosidase activity",molecular_function,MF,3KO_vs_Tween
GO:0009073,GO:0009073,44/6474,127/100553,0.3464566929133858,5.381102848705543,12.959778666416636,4.561395196293726e-21,6.522795130700028e-19,4.924934963817888e-19,TraesCS1B03G1241400.1/TraesCS1D03G1005300.1/TraesCS2A03G0340100.1/TraesCS2B03G0895500.1/TraesCS2B03G0223400.1/TraesCS2B03G0456400.1/TraesCS2B03G1388900.1/TraesCS2D03G0158000.2/TraesCS2D03G0158000.1/TraesCS2D03G0672300.1/TraesCS2D03G0672300.2/TraesCS2D03G0750300.1/TraesCS3A03G0495000.1/TraesCS3B03G0575400.1/TraesCS3D03G0484000.2/TraesCS3D03G0484000.1/TraesCS4A03G0184500.2/TraesCS4A03G0184500.1/TraesCS7D03G0149700.1/TraesCS4D03G0738100.1/TraesCS5A03G0456200.1/TraesCS5A03G1040300.2/TraesCS5A03G1040300.1/TraesCS5A03G1156600.1/TraesCS5A03G1156600.2/TraesCS5B03G0449300.1/TraesCS5B03G1093500.2/TraesCS5B03G1093500.1/TraesCS5D03G0421900.1/TraesCS5D03G0984500.1/TraesCS5D03G0984800.1/TraesCS7A03G0429900.1/TraesCS7A03G0760600.1/TraesCS7A03G0841300.1/TraesCS7A03G0841300.2/TraesCS7A03G0949600.2/TraesCS7A03G0949600.1/TraesCS7B03G0238200.1/TraesCS7D03G0418000.1/TraesCS7D03G0730000.1/TraesCS7D03G0914900.2/TraesCS7D03G0914900.1/TraesCS7D03G0914900.3/TraesCS7D03G1187100.1,44,Up,aromatic amino acid family biosynthetic process,biological_process,BP,3KO_vs_Tween
GO:0004568,GO:0004568,35/6474,80/100553,0.4375,6.795171068890949,13.6025999882362,5.985069707195377e-21,6.656727529891747e-19,5.026058537738341e-19,TraesCS1A03G0542400.1/TraesCS1A03G0542500.1/TraesCS1A03G0646400.1/TraesCS1B03G0269300.1/TraesCS1B03G0732500.1/TraesCS1B03G0732400.1/TraesCS1D03G0523200.2/TraesCS1D03G0523200.1/TraesCS1D03G0523300.1/TraesCS1D03G0523300.3/TraesCS1D03G0523300.2/TraesCS1D03G0604100.1/TraesCS2A03G0857500.1/TraesCS2D03G0798500.1/TraesCS2A03G0857700.1/TraesCS2B03G0949900.1/TraesCS2B03G0950100.1/TraesCS2D03G0061200.1/TraesCS2D03G0798400.1/TraesCS2D03G0798600.1/TraesCS2D03G0799000.1/TraesCS2D03G1332100.1/TraesCS3A03G0663800.1/TraesCS3A03G0663900.1/TraesCS3B03G0757500.1/TraesCS3D03G0606700.1/TraesCS3D03G0606900.1/TraesCS5A03G1172100.1/TraesCS5B03G0999600.1/TraesCS5D03G0905700.1/TraesCS6A03G0593800.1/TraesCS6D03G0494400.1/TraesCS7A03G1333700.1/TraesCS7B03G0998600.1/TraesCS7B03G1266900.1,35,Up,chitinase activity,molecular_function,MF,3KO_vs_Tween
GO:0016998,GO:0016998,35/6474,80/100553,0.4375,6.795171068890949,13.6025999882362,5.985069707195377e-21,6.656727529891747e-19,5.026058537738341e-19,TraesCS1A03G0542400.1/TraesCS1A03G0542500.1/TraesCS1A03G0646400.1/TraesCS1B03G0269300.1/TraesCS1B03G0732500.1/TraesCS1B03G0732400.1/TraesCS1D03G0523200.2/TraesCS1D03G0523200.1/TraesCS1D03G0523300.1/TraesCS1D03G0523300.3/TraesCS1D03G0523300.2/TraesCS1D03G0604100.1/TraesCS2A03G0857500.1/TraesCS2D03G0798500.1/TraesCS2A03G0857700.1/TraesCS2B03G0949900.1/TraesCS2B03G0950100.1/TraesCS2D03G0061200.1/TraesCS2D03G0798400.1/TraesCS2D03G0798600.1/TraesCS2D03G0799000.1/TraesCS2D03G1332100.1/TraesCS3A03G0663800.1/TraesCS3A03G0663900.1/TraesCS3B03G0757500.1/TraesCS3D03G0606700.1/TraesCS3D03G0606900.1/TraesCS5A03G1172100.1/TraesCS5B03G0999600.1/TraesCS5D03G0905700.1/TraesCS6A03G0593800.1/TraesCS6D03G0494400.1/TraesCS7A03G1333700.1/TraesCS7B03G0998600.1/TraesCS7B03G1266900.1,35,Up,cell wall macromolecule catabolic process,biological_process,BP,3KO_vs_Tween
GO:2000022,GO:2000022,30/6474,67/100553,0.44776119402985076,6.954546083299905,12.789943929091457,1.6128967663959306e-18,1.6145096631623265e-16,1.2190103981813456e-16,TraesCS1B03G0233100.1/TraesCS1D03G0166200.1/TraesCS2A03G0715200.1/TraesCS2B03G0472100.1/TraesCS2B03G0794500.1/TraesCS2D03G0662000.1/TraesCS3B03G0961300.1/TraesCS3D03G0769200.1/TraesCS4A03G0013400.1/TraesCS4A03G0013500.1/TraesCS4A03G0013600.1/TraesCS4B03G0546200.1/TraesCS4B03G0780000.1/TraesCS4D03G0482900.1/TraesCS5A03G0549300.1/TraesCS5B03G0558800.1/TraesCS7A03G0473200.1/TraesCS7A03G0473300.1/TraesCS7A03G0473400.1/TraesCS7A03G0473700.1/TraesCS7A03G0474000.1/TraesCS7B03G0283300.1/TraesCS7B03G0283500.1/TraesCS7B03G0284300.1/TraesCS7D03G0455600.1/TraesCS7D03G0456500.1/TraesCS7D03G0456700.1/TraesCS7D03G0456900.1/TraesCS7D03G0457000.1/TraesCS7D03G0457300.1,30,Up,regulation of jasmonic acid mediated signaling pathway,biological_process,BP,3KO_vs_Tween
