GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0004645,"1,4-alpha-oligoglucan phosphorylase activity",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046905,15-cis-phytoene synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0051537,"2 iron, 2 sulfur cluster binding",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0047254,"2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0033707,3''-deamino-3''-oxonicotianamine reductase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008442,3-hydroxyisobutyrate dehydrogenase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004134,4-alpha-glucanotransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0043139,5'-3' DNA helicase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008409,5'-3' exonuclease activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015217,ADP transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004176,ATP-dependent peptidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0080120,CAAX-box protein maturation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0005537,D-mannose binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019150,D-ribulokinase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006259,DNA metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0033567,"DNA replication, Okazaki fragment processing",biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006352,DNA-templated transcription initiation,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0006353,DNA-templated transcription termination,biological_process,BP,Growth,Metabolism,NA,Metabolism,Biosynthesis
GO:0071949,FAD binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010181,FMN binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019863,IgE binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0019853,L-ascorbic acid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0052656,L-isoleucine-2-oxoglutarate transaminase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0052654,L-leucine-2-oxoglutarate transaminase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006559,L-phenylalanine catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0052655,L-valine-2-oxoglutarate transaminase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004499,"N,N-dimethylaniline monooxygenase activity",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008080,N-acetyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0003955,NAD(P)H dehydrogenase (quinone) activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone),cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0050661,NADP binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008171,O-methyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016070,RNA metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0001510,RNA methylation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
